colectiva,convocatoria,direccion,fecha,hora,lat,lon,imagen,cta_url,popup_html,fuente_url,score_relevancia
,Canòdrom,,2026-03-13,09:30,,,https://media-edg.barcelona.cat/wp-content/uploads/2026/02/17124754/240301Canodrom_132-1-570x321.jpg,https://canodrom.barcelona/es,"<h3 style=""margin:0 0 8px 0;""><a href=""https://canodrom.barcelona/es"" target=""_blank"" rel=""noopener noreferrer"">Canòdrom</a></h3>
<p style=""margin:0 0 14px 0;"">2026-03-13 - 09:30</p>
<div style=""margin:0 0 12px 0;""><img src=""https://media-edg.barcelona.cat/wp-content/uploads/2026/02/17124754/240301Canodrom_132-1-570x321.jpg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://canodrom.barcelona/es"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://canodrom.barcelona/es,11
,CNT de Valladolid,,2026-05-01,11:00,,,https://www.cntvalladolid.es/media/horario-sep-25-300x251.jpg,https://www.cntvalladolid.es/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.cntvalladolid.es/"" target=""_blank"" rel=""noopener noreferrer"">CNT de Valladolid</a></h3>
<p style=""margin:0 0 14px 0;"">2026-05-01 - 11:00</p>
<div style=""margin:0 0 12px 0;""><img src=""https://www.cntvalladolid.es/media/horario-sep-25-300x251.jpg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.cntvalladolid.es/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.cntvalladolid.es/,17
,8M 2024. HUELGA ESTUDIANTIL FEMINISTA,,2026-02-25,12:00,,,https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/050224_3.jpg,https://www.sindicatodeestudiantes.net/index.php/noticias/feminismo-revolucionario/8m-2024-huelga-estudiantil-feminista,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.sindicatodeestudiantes.net/index.php/noticias/feminismo-revolucionario/8m-2024-huelga-estudiantil-feminista"" target=""_blank"" rel=""noopener noreferrer"">8M 2024. HUELGA ESTUDIANTIL FEMINISTA</a></h3>
<p style=""margin:0 0 14px 0;"">2026-02-25 - 12:00</p>
<div style=""margin:0 0 12px 0;""><img src=""https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/050224_3.jpg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.sindicatodeestudiantes.net/index.php/noticias/feminismo-revolucionario/8m-2024-huelga-estudiantil-feminista"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.sindicatodeestudiantes.net/index.php/noticias/feminismo-revolucionario/8m-2024-huelga-estudiantil-feminista,15
,ASUFIN 8M 2024: las lecciones de Claudia Goldin sobre la brecha de género - Ateneo Madrid,,2026-02-25,09:30,,,https://ateneodemadrid.com/wp-content/uploads/2024/02/04.03.2024-Claudia-Goldin-1.jpg,https://ateneodemadrid.com/evento/asufin-8m-2024/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://ateneodemadrid.com/evento/asufin-8m-2024/"" target=""_blank"" rel=""noopener noreferrer"">ASUFIN 8M 2024: las lecciones de Claudia Goldin sobre la brecha de género - Ateneo Madrid</a></h3>
<p style=""margin:0 0 14px 0;"">2026-02-25 - 09:30</p>
<div style=""margin:0 0 12px 0;""><img src=""https://ateneodemadrid.com/wp-content/uploads/2024/02/04.03.2024-Claudia-Goldin-1.jpg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://ateneodemadrid.com/evento/asufin-8m-2024/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://ateneodemadrid.com/evento/asufin-8m-2024/,13
,"8 mars 2024 : face aux attaques du gouvernement, des droites et extrêmes droites, partout les femmes résistent ! - Grève féministe",,2024-02-25,,,,https://b4048127.smushcdn.com/4048127/wp-content/uploads/2024/01/splash.webp?lossy=2&strip=1&webp=1,https://www.grevefeministe.fr/8-mars-2024/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.grevefeministe.fr/8-mars-2024/"" target=""_blank"" rel=""noopener noreferrer"">8 mars 2024 : face aux attaques du gouvernement, des droites et extrêmes droites, partout les femmes résistent ! - Grève féministe</a></h3>
<p style=""margin:0 0 14px 0;"">2024-02-25</p>
<div style=""margin:0 0 12px 0;""><img src=""https://b4048127.smushcdn.com/4048127/wp-content/uploads/2024/01/splash.webp?lossy=2&strip=1&webp=1"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.grevefeministe.fr/8-mars-2024/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.grevefeministe.fr/8-mars-2024/,13
,Arranca Marzo 2024: lunes 04 por la tarde taller de bolsas de tela 8M + corto + merienda compartida. | Igualando realidades,,2024-03-25,,,,https://igualandorealidades.wordpress.com/wp-content/uploads/2024/02/taller-04-programa-marzo-2024-post-cuadrado.png,https://igualandorealidades.wordpress.com/2024/02/27/arranca-marzo-2024-lunes-04-por-la-tarde-taller-de-bolsas-de-tela-8m-corto-merienda-compartida/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://igualandorealidades.wordpress.com/2024/02/27/arranca-marzo-2024-lunes-04-por-la-tarde-taller-de-bolsas-de-tela-8m-corto-merienda-compartida/"" target=""_blank"" rel=""noopener noreferrer"">Arranca Marzo 2024: lunes 04 por la tarde taller de bolsas de tela 8M + corto + merienda compartida. | Igualando realidades</a></h3>
<p style=""margin:0 0 14px 0;"">2024-03-25</p>
<div style=""margin:0 0 12px 0;""><img src=""https://igualandorealidades.wordpress.com/wp-content/uploads/2024/02/taller-04-programa-marzo-2024-post-cuadrado.png"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://igualandorealidades.wordpress.com/2024/02/27/arranca-marzo-2024-lunes-04-por-la-tarde-taller-de-bolsas-de-tela-8m-corto-merienda-compartida/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://igualandorealidades.wordpress.com/2024/02/27/arranca-marzo-2024-lunes-04-por-la-tarde-taller-de-bolsas-de-tela-8m-corto-merienda-compartida/,15
,"Abiertas las inscripciones para participar en la III ruta senderista y carrera ‘8KM, 8 Motivos por la Igualdad’ del Ayuntamiento de Cáceres - Ayuntamiento de Cáceres",,2031-02-25,15:00,,,https://www.ayto-caceres.es/wp-content/uploads/2024/02/RUTA-SENDERISTA-8-DE-MARZO-2024-Ok-733x1030.jpg,https://www.ayto-caceres.es/noticias/abiertas-las-inscripciones-para-participar-en-la-iii-ruta-senderista-y-carrera-8k-8-motivos-por-la-igualdad-del-ayuntamiento-de-caceres/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.ayto-caceres.es/noticias/abiertas-las-inscripciones-para-participar-en-la-iii-ruta-senderista-y-carrera-8k-8-motivos-por-la-igualdad-del-ayuntamiento-de-caceres/"" target=""_blank"" rel=""noopener noreferrer"">Abiertas las inscripciones para participar en la III ruta senderista y carrera ‘8KM, 8 Motivos por la Igualdad’ del Ayuntamiento de Cáceres - Ayuntamiento de Cáceres</a></h3>
<p style=""margin:0 0 14px 0;"">2031-02-25 - 15:00</p>
<div style=""margin:0 0 12px 0;""><img src=""https://www.ayto-caceres.es/wp-content/uploads/2024/02/RUTA-SENDERISTA-8-DE-MARZO-2024-Ok-733x1030.jpg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.ayto-caceres.es/noticias/abiertas-las-inscripciones-para-participar-en-la-iii-ruta-senderista-y-carrera-8k-8-motivos-por-la-igualdad-del-ayuntamiento-de-caceres/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.ayto-caceres.es/noticias/abiertas-las-inscripciones-para-participar-en-la-iii-ruta-senderista-y-carrera-8k-8-motivos-por-la-igualdad-del-ayuntamiento-de-caceres/,17
,Celebración del Día Internacional de la Mujer en Torrelodones - La Voz de la Sierra,,2026-02-25,19:00,,,https://lavozdelasierra.es/wp-content/uploads/2024/03/captura-2.png,https://lavozdelasierra.es/2024/03/04/celebracion-del-dia-internacional-de-la-mujer-en-torrelodones/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://lavozdelasierra.es/2024/03/04/celebracion-del-dia-internacional-de-la-mujer-en-torrelodones/"" target=""_blank"" rel=""noopener noreferrer"">Celebración del Día Internacional de la Mujer en Torrelodones - La Voz de la Sierra</a></h3>
<p style=""margin:0 0 14px 0;"">2026-02-25 - 19:00</p>
<div style=""margin:0 0 12px 0;""><img src=""https://lavozdelasierra.es/wp-content/uploads/2024/03/captura-2.png"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://lavozdelasierra.es/2024/03/04/celebracion-del-dia-internacional-de-la-mujer-en-torrelodones/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://lavozdelasierra.es/2024/03/04/celebracion-del-dia-internacional-de-la-mujer-en-torrelodones/,17
,Grève féministe,,2026-02-25,,,,https://www.grevefeministe.fr/wp-content/uploads/2026/01/splash-8mars2026-2.webp,https://www.grevefeministe.fr/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.grevefeministe.fr/"" target=""_blank"" rel=""noopener noreferrer"">Grève féministe</a></h3>
<p style=""margin:0 0 14px 0;"">2026-02-25</p>
<div style=""margin:0 0 12px 0;""><img src=""https://www.grevefeministe.fr/wp-content/uploads/2026/01/splash-8mars2026-2.webp"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.grevefeministe.fr/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.grevefeministe.fr/,11
,Asia and the Pacific marks International Women’s Day 2024 | ESCAP,,,10:00,,,https://www.unescap.org/sites/default/d8files/2024-02/Picture1.jpg,https://www.unescap.org/news/asia-and-pacific-marks-international-womens-day-2024,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.unescap.org/news/asia-and-pacific-marks-international-womens-day-2024"" target=""_blank"" rel=""noopener noreferrer"">Asia and the Pacific marks International Women’s Day 2024 | ESCAP</a></h3>
<p style=""margin:0 0 14px 0;"">10:00</p>
<div style=""margin:0 0 12px 0;""><img src=""https://www.unescap.org/sites/default/d8files/2024-02/Picture1.jpg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.unescap.org/news/asia-and-pacific-marks-international-womens-day-2024"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.unescap.org/news/asia-and-pacific-marks-international-womens-day-2024,10
,"IWD Nairobi 2024 AI Hackathon, Sat, Mar 16, 2024, 8:00 AM | Meetup",,2024-02-25,08:00,,,https://secure.meetupstatic.com/photos/event/c/5/3/c/600_519710492.jpeg,https://www.meetup.com/gdg-nairobi/events/298721796/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.meetup.com/gdg-nairobi/events/298721796/"" target=""_blank"" rel=""noopener noreferrer"">IWD Nairobi 2024 AI Hackathon, Sat, Mar 16, 2024, 8:00 AM | Meetup</a></h3>
<p style=""margin:0 0 14px 0;"">2024-02-25 - 08:00</p>
<div style=""margin:0 0 12px 0;""><img src=""https://secure.meetupstatic.com/photos/event/c/5/3/c/600_519710492.jpeg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.meetup.com/gdg-nairobi/events/298721796/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.meetup.com/gdg-nairobi/events/298721796/,8
,MARZO 2024 – WIKIESFERA,,2024-03-25,19:00,,,https://www.wikiesfera.org/wp-content/uploads/2024/04/2024-cabeceras-convocatorias-1024x544.png,https://www.wikiesfera.org/2024/03/01/marzo-2024/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.wikiesfera.org/2024/03/01/marzo-2024/"" target=""_blank"" rel=""noopener noreferrer"">MARZO 2024 – WIKIESFERA</a></h3>
<p style=""margin:0 0 14px 0;"">2024-03-25 - 19:00</p>
<div style=""margin:0 0 12px 0;""><img src=""https://www.wikiesfera.org/wp-content/uploads/2024/04/2024-cabeceras-convocatorias-1024x544.png"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.wikiesfera.org/2024/03/01/marzo-2024/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.wikiesfera.org/2024/03/01/marzo-2024/,17
,Bicicletada ecofeminista ¡Pedaleando por el fin del patriarcado y el genocidio! | www.briega.org,,2024-03-08,,,,https://i.ibb.co/tDLpLyM/Cartel2-bicicletada-feminista-8-M-2024.jpg,https://www.briega.org/es/evento/bicicletada-ecofeminista-pedaleando-por-fin-patriarcado-genocidio-dom-10032024-1200,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.briega.org/es/evento/bicicletada-ecofeminista-pedaleando-por-fin-patriarcado-genocidio-dom-10032024-1200"" target=""_blank"" rel=""noopener noreferrer"">Bicicletada ecofeminista ¡Pedaleando por el fin del patriarcado y el genocidio! | www.briega.org</a></h3>
<p style=""margin:0 0 14px 0;"">2024-03-08</p>
<div style=""margin:0 0 12px 0;""><img src=""https://i.ibb.co/tDLpLyM/Cartel2-bicicletada-feminista-8-M-2024.jpg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.briega.org/es/evento/bicicletada-ecofeminista-pedaleando-por-fin-patriarcado-genocidio-dom-10032024-1200"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.briega.org/es/evento/bicicletada-ecofeminista-pedaleando-por-fin-patriarcado-genocidio-dom-10032024-1200,13
,International Woman's Day 2024 Rallies - Union Aid Abroad,,2024-02-25,17:30,,,https://apheda.org.au/wp-content/uploads/Screen-Shot-2024-02-28-at-09.04.24.png,https://www.apheda.org.au/international-womans-day-2024-rallies/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.apheda.org.au/international-womans-day-2024-rallies/"" target=""_blank"" rel=""noopener noreferrer"">International Woman's Day 2024 Rallies - Union Aid Abroad</a></h3>
<p style=""margin:0 0 14px 0;"">2024-02-25 - 17:30</p>
<div style=""margin:0 0 12px 0;""><img src=""https://apheda.org.au/wp-content/uploads/Screen-Shot-2024-02-28-at-09.04.24.png"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.apheda.org.au/international-womans-day-2024-rallies/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.apheda.org.au/international-womans-day-2024-rallies/,10
,Reclaim the Agenda,,2026-03-07,11:30,,,https://images.squarespace-cdn.com/content/v1/5e3454eedfdfe875b2e75d36/4fdde379-f8f2-4b8b-953c-179f6b5a36b4/336540573_1230148677866915_2634707860102298567_n.jpg,https://www.reclaimtheagenda.com/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.reclaimtheagenda.com/"" target=""_blank"" rel=""noopener noreferrer"">Reclaim the Agenda</a></h3>
<p style=""margin:0 0 14px 0;"">2026-03-07 - 11:30</p>
<div style=""margin:0 0 12px 0;""><img src=""https://images.squarespace-cdn.com/content/v1/5e3454eedfdfe875b2e75d36/4fdde379-f8f2-4b8b-953c-179f6b5a36b4/336540573_1230148677866915_2634707860102298567_n.jpg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.reclaimtheagenda.com/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.reclaimtheagenda.com/,11
,"Grupos feministas preparan actividades para conmemorar el Día Internacional de la Mujer 8M san luis rio colorado - Tribuna de San Luis | Noticias Locales, Policiacas, sobre México,",,2026-03-08,20:30,,,https://oem.com.mx/tribunadesanluis/img/13913649/1709286943/BASE_LANDSCAPE/1200/image.jpg,https://www.tribunadesanluis.com.mx/local/grupos-feministas-preparan-actividades-para-conmemorar-el-dia-internacional-de-la-mujer-8m-san-luis-rio-colorado-11528676.html,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.tribunadesanluis.com.mx/local/grupos-feministas-preparan-actividades-para-conmemorar-el-dia-internacional-de-la-mujer-8m-san-luis-rio-colorado-11528676.html"" target=""_blank"" rel=""noopener noreferrer"">Grupos feministas preparan actividades para conmemorar el Día Internacional de la Mujer 8M san luis rio colorado - Tribuna de San Luis | Noticias Locales, Policiacas, sobre México,</a></h3>
<p style=""margin:0 0 14px 0;"">2026-03-08 - 20:30</p>
<div style=""margin:0 0 12px 0;""><img src=""https://oem.com.mx/tribunadesanluis/img/13913649/1709286943/BASE_LANDSCAPE/1200/image.jpg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.tribunadesanluis.com.mx/local/grupos-feministas-preparan-actividades-para-conmemorar-el-dia-internacional-de-la-mujer-8m-san-luis-rio-colorado-11528676.html"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.tribunadesanluis.com.mx/local/grupos-feministas-preparan-actividades-para-conmemorar-el-dia-internacional-de-la-mujer-8m-san-luis-rio-colorado-11528676.html,17
,"El Día Internacional de la Mujer instalarán tendedero de denuncias feministas 8M san luis rio colorado - Tribuna de San Luis | Noticias Locales, Policiacas, sobre México, Sonora y ",,2026-02-27,10:00,,,https://oem.com.mx/tribunadesanluis/img/13927091/1709723816/BASE_LANDSCAPE/1200/image.jpg,https://www.tribunadesanluis.com.mx/local/el-dia-internacional-de-la-mujer-instalaran-tendedero-de-denuncias-feministas-8m-san-luis-rio-colorado-11555377.html,"<h3 style=""margin:0 0 8px 0;""><a href=""https://www.tribunadesanluis.com.mx/local/el-dia-internacional-de-la-mujer-instalaran-tendedero-de-denuncias-feministas-8m-san-luis-rio-colorado-11555377.html"" target=""_blank"" rel=""noopener noreferrer"">El Día Internacional de la Mujer instalarán tendedero de denuncias feministas 8M san luis rio colorado - Tribuna de San Luis | Noticias Locales, Policiacas, sobre México, Sonora y</a></h3>
<p style=""margin:0 0 14px 0;"">2026-02-27 - 10:00</p>
<div style=""margin:0 0 12px 0;""><img src=""https://oem.com.mx/tribunadesanluis/img/13927091/1709723816/BASE_LANDSCAPE/1200/image.jpg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://www.tribunadesanluis.com.mx/local/el-dia-internacional-de-la-mujer-instalaran-tendedero-de-denuncias-feministas-8m-san-luis-rio-colorado-11555377.html"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://www.tribunadesanluis.com.mx/local/el-dia-internacional-de-la-mujer-instalaran-tendedero-de-denuncias-feministas-8m-san-luis-rio-colorado-11555377.html,13
,Fem Fest 2024 – TimeOutTirana,,2024-02-25,,,,https://timeouttirana.al/wp-content/uploads/2024/03/fem-fest-2024.jpeg,https://timeouttirana.al/2024/03/05/fem-fest-2024/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://timeouttirana.al/2024/03/05/fem-fest-2024/"" target=""_blank"" rel=""noopener noreferrer"">Fem Fest 2024 – TimeOutTirana</a></h3>
<p style=""margin:0 0 14px 0;"">2024-02-25</p>
<div style=""margin:0 0 12px 0;""><img src=""https://timeouttirana.al/wp-content/uploads/2024/03/fem-fest-2024.jpeg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://timeouttirana.al/2024/03/05/fem-fest-2024/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://timeouttirana.al/2024/03/05/fem-fest-2024/,8
,Un mundo en movimiento. Género y derechos humanos - Centro Cultural Parque de España/AECID,,2026-02-25,20:00,,,https://ccpe.org.ar/web/wp-content/uploads/2024/02/b_humanfest.jpg,https://ccpe.org.ar/web/actividades/8m/,"<h3 style=""margin:0 0 8px 0;""><a href=""https://ccpe.org.ar/web/actividades/8m/"" target=""_blank"" rel=""noopener noreferrer"">Un mundo en movimiento. Género y derechos humanos - Centro Cultural Parque de España/AECID</a></h3>
<p style=""margin:0 0 14px 0;"">2026-02-25 - 20:00</p>
<div style=""margin:0 0 12px 0;""><img src=""https://ccpe.org.ar/web/wp-content/uploads/2024/02/b_humanfest.jpg"" style=""max-width:100%; height:auto; border-radius:4px;"" /></div>
<p style=""margin:0;""><a href=""https://ccpe.org.ar/web/actividades/8m/"" target=""_blank"" rel=""noopener noreferrer"">Accede a la convocatoria</a></p>",https://ccpe.org.ar/web/actividades/8m/,17
